rho (g/cm^3),Vp (km/s),Vs (km/s),Thickness (km)
1.93,0.94983,0.14899,0.066913
2.02596886174796,1.7963,0.356185,0.103202
2.0671328234452,1.9468,0.59875,0.2570975
2.09347551595421,2.04795,0.71715,0.4277925
2.13100505914925,2.1988,0.806405,0.34972
2.20015633605374,2.4984,1.04775,0.5994
2.30305274784393,2.9996,1.2966,0
